technology,year,e3genmod,postapril
Geo,2022,0,0
Geo,2023,0,0
Geo,2024,0,0
Geo,2025,0,0
Geo,2026,0,0
Geo,2027,0,0
Geo,2028,0,0
Geo,2029,0,0
Geo,2030,0,192821.9444
Geo,2031,0,193362.8447
Geo,2032,0,190259.2556
Geo,2033,0,194242.4767
Geo,2034,0,191268.7423
Geo,2035,0,191300.0371
Geo,2036,0,198187.9866
Geo,2037,0,199746.4539
Geo,2038,0,200142.0871
Geo,2039,0,197870.523
Geo,2040,234279.5036,192965.7277
Geo,2041,238101.178,192357.8927
Geo,2042,234419.5655,196074.5508
Geo,2043,240336.4297,195151.7097
Geo,2044,236293.877,193987.4329
Geo,2045,203100.18,195517.3546
Hydro,2016,1018.4,1018.4
Hydro,2017,1018.4,1018.4
Hydro,2018,1018.4,1018.4
Hydro,2019,1018.4,1018.4
Hydro,2020,1018.4,1018.4
Hydro,2021,1018.4,1018.4
Hydro,2022,1018.4,1018.4
Hydro,2023,1018.4,1018.4
Hydro,2024,1018.4,1018.4
Hydro,2025,1018.4,1018.4
Hydro,2026,1018.4,1018.4
Hydro,2027,1018.4,1018.4
Hydro,2028,1018.4,1018.4
Hydro,2029,1018.4,1018.4
Hydro,2030,1018.4,1018.4
Hydro,2031,1018.4,1018.4
Hydro,2032,1018.4,1018.4
Hydro,2033,1018.4,1018.4
Hydro,2034,1018.4,1018.4
Hydro,2035,1018.4,1018.4
Hydro,2036,1018.4,1018.4
Hydro,2037,1018.4,1018.4
Hydro,2038,1018.4,1018.4
Hydro,2039,1018.4,1018.4
Hydro,2040,1018.4,1018.4
Hydro,2041,1018.4,1018.4
Hydro,2042,1018.4,1018.4
Hydro,2043,1018.4,1018.4
Hydro,2044,1018.4,1018.4
Hydro,2045,1018.4,1018.4
