technology,year,e3genmod,postapril
Hydro,2035,0.5,0.5
Hydro,2036,0.5,0.5
Hydro,2037,0.5,0.5
Hydro,2038,0.5,0.5
Hydro,2039,0.5,0.5
Hydro,2040,0.5,0.5
Hydro,2041,0.5,0.5
Hydro,2042,0.5,0.5
Hydro,2043,0.5,0.5
Hydro,2044,0.5,0.5
Hydro,2045,0.5,0.5
